Timestamp,Page,Status,LoadTime,Score
2026-02-26T12:08:15.323Z,Product Page,OK,0.76,100
2026-02-26T12:08:15.323Z,Add To Cart,OK,0,100
2026-02-26T12:23:01.347Z,Homepage,OK,8.27,100
2026-02-26T12:23:01.347Z,Category,OK,2.779,100
2026-02-26T12:23:01.347Z,Product Page,OK,1.324,100
2026-02-26T12:23:01.347Z,Add To Cart,OK,0,100
2026-02-26T12:38:01.345Z,Homepage,OK,7.94,100
2026-02-26T12:38:01.345Z,Category,OK,1.393,100
2026-02-26T12:38:01.345Z,Product Page,OK,1.125,100
2026-02-26T12:38:01.345Z,Add To Cart,OK,0,100
2026-02-26T12:53:08.535Z,Homepage,OK,8.127,100
2026-02-26T12:53:08.535Z,Category,OK,1.279,100
2026-02-26T12:53:08.535Z,Product Page,OK,1.306,100
2026-02-26T12:53:08.535Z,Add To Cart,OK,0,100
2026-02-26T13:08:10.795Z,Homepage,OK,8.079,100
2026-02-26T13:08:10.795Z,Category,OK,1.236,100
2026-02-26T13:08:10.795Z,Product Page,OK,0.92,100
2026-02-26T13:08:10.795Z,Add To Cart,OK,0,100
2026-02-26T13:23:16.554Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T13:37:56.505Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T13:53:12.471Z,Homepage,OK,7.904,100
2026-02-26T13:53:12.471Z,Category,OK,0.97,100
2026-02-26T13:53:12.471Z,Product Page,OK,1.849,100
2026-02-26T13:53:12.471Z,Add To Cart,OK,0,100
2026-02-26T14:08:10.308Z,Homepage,OK,8.598,100
2026-02-26T14:08:10.308Z,Category,OK,2.301,100
2026-02-26T14:08:10.308Z,Product Page,OK,1.497,100
2026-02-26T14:08:10.308Z,Add To Cart,OK,0,100
2026-02-26T14:23:02.032Z,Homepage,OK,8.608,100
2026-02-26T14:23:02.032Z,Category,OK,3.183,100
2026-02-26T14:23:02.032Z,Product Page,OK,1.47,100
2026-02-26T14:23:02.032Z,Add To Cart,OK,0,100
2026-02-26T14:38:13.921Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T14:52:54.977Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T15:07:37.379Z,Homepage,OK,7.891,100
2026-02-26T15:07:37.379Z,Category,OK,1.135,100
2026-02-26T15:07:37.379Z,Product Page,OK,0.885,100
2026-02-26T15:07:37.379Z,Add To Cart,OK,0,100
2026-02-26T15:23:04.965Z,Homepage,OK,8.172,100
2026-02-26T15:23:04.965Z,Category,OK,2.578,100
2026-02-26T15:23:04.965Z,Product Page,OK,1.344,100
2026-02-26T15:23:04.965Z,Add To Cart,OK,0,100
2026-02-26T15:38:02.862Z,Homepage,OK,8.015,100
2026-02-26T15:38:02.862Z,Category,OK,2.525,100
2026-02-26T15:38:02.862Z,Product Page,OK,1.085,100
2026-02-26T15:38:02.862Z,Add To Cart,OK,0,100
2026-02-26T15:53:13.345Z,Homepage,OK,8.252,100
2026-02-26T15:53:13.345Z,Category,OK,2.495,100
2026-02-26T15:53:13.345Z,Product Page,OK,0.928,100
2026-02-26T15:53:13.345Z,Add To Cart,OK,0,100
2026-02-26T16:07:56.937Z,Homepage,OK,8.169,100
2026-02-26T16:07:56.937Z,Category,OK,2.385,100
2026-02-26T16:07:56.937Z,Product Page,OK,0.777,100
2026-02-26T16:07:56.937Z,Add To Cart,OK,0,100
2026-02-26T16:22:56.498Z,Homepage,OK,7.974,100
2026-02-26T16:22:56.498Z,Category,OK,2.006,100
2026-02-26T16:22:56.498Z,Product Page,OK,0.847,100
2026-02-26T16:22:56.498Z,Add To Cart,OK,0,100
2026-02-26T16:37:57.151Z,Homepage,OK,8.08,100
2026-02-26T16:37:57.151Z,Category,OK,2.605,100
2026-02-26T16:37:57.151Z,Product Page,OK,0.928,100
2026-02-26T16:37:57.151Z,Add To Cart,OK,0,100
2026-02-26T16:53:01.179Z,Homepage,OK,8.115,100
2026-02-26T16:53:01.179Z,Category,OK,1.268,100
2026-02-26T16:53:01.179Z,Product Page,OK,1.228,100
2026-02-26T16:53:01.179Z,Add To Cart,OK,0,100
2026-02-26T17:08:08.089Z,Homepage,OK,8.013,100
2026-02-26T17:08:08.089Z,Category,OK,1.457,100
2026-02-26T17:08:08.089Z,Product Page,OK,1.174,100
2026-02-26T17:08:08.089Z,Add To Cart,OK,0,100
2026-02-26T17:23:05.489Z,Homepage,OK,8.017,100
2026-02-26T17:23:05.489Z,Category,OK,1.251,100
2026-02-26T17:23:05.489Z,Product Page,OK,1.327,100
2026-02-26T17:23:05.489Z,Add To Cart,OK,0,100
2026-02-26T17:38:04.729Z,Homepage,OK,8.481,100
2026-02-26T17:38:04.729Z,Category,OK,1.596,100
2026-02-26T17:38:04.729Z,Product Page,OK,1.304,100
2026-02-26T17:38:04.729Z,Add To Cart,OK,0,100
2026-02-26T17:53:13.965Z,Homepage,OK,7.935,100
2026-02-26T17:53:13.965Z,Category,OK,2.638,100
2026-02-26T17:53:13.965Z,Product Page,OK,1.489,100
2026-02-26T17:53:13.965Z,Add To Cart,OK,0,100
2026-02-26T18:06:24.766Z,Homepage,OK,7.958,100
2026-02-26T18:06:24.766Z,Category,OK,2.558,100
2026-02-26T18:06:24.766Z,Product Page,OK,0.908,100
2026-02-26T18:06:24.766Z,Add To Cart,OK,0,100
2026-02-26T18:08:08.508Z,Homepage,OK,8.517,100
2026-02-26T18:08:08.508Z,Category,OK,2.288,100
2026-02-26T18:08:08.508Z,Product Page,OK,0.572,100
2026-02-26T18:08:08.508Z,Add To Cart,OK,0,100
2026-02-26T18:22:57.933Z,Homepage,OK,7.981,100
2026-02-26T18:22:57.933Z,Category,OK,1.992,100
2026-02-26T18:22:57.933Z,Product Page,OK,1.239,100
2026-02-26T18:22:57.933Z,Add To Cart,OK,0,100
2026-02-26T18:38:08.614Z,Homepage,OK,12.375,100
2026-02-26T18:38:08.614Z,Category,OK,1.168,100
2026-02-26T18:38:08.614Z,Product Page,OK,1.221,100
2026-02-26T18:38:08.614Z,Add To Cart,OK,0,100
2026-02-26T18:52:56.020Z,Homepage,OK,8.017,100
2026-02-26T18:52:56.020Z,Category,OK,2.216,100
2026-02-26T18:52:56.020Z,Product Page,OK,0.847,100
2026-02-26T18:52:56.020Z,Add To Cart,OK,0,100
2026-02-26T19:08:42.715Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T19:23:12.007Z,Homepage,OK,13.5,100
2026-02-26T19:23:12.007Z,Category,OK,2.505,100
2026-02-26T19:23:12.007Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('button:has-text("Add to cart")') to be visible     4 × locator resolved to 40 elements. Proceeding with the first one: <button value="in" type="button" name="action" data-submit="" class="add btn _prim -pea _md">Add to cart</button>     60 × locator resolved to 52 elements. Proceeding with the first one: <button value="in" type="button" name="action" data-submit="" class="add btn _prim -pea _md">Add to cart</button>,0,0
2026-02-26T19:38:20.790Z,Homepage,OK,7.932,100
2026-02-26T19:38:20.790Z,Category,OK,2.294,100
2026-02-26T19:38:20.790Z,Product Page,OK,0.835,100
2026-02-26T19:38:20.790Z,Add To Cart,OK,0,100
2026-02-26T19:53:41.248Z,Homepage,OK,8.601,100
2026-02-26T19:53:41.248Z,Category,OK,1.283,100
2026-02-26T19:53:41.248Z,Product Page,OK,1.462,100
2026-02-26T19:53:41.248Z,Add To Cart,OK,0,100
2026-02-26T19:59:49.443Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T20:08:05.571Z,Homepage,OK,8.233,100
2026-02-26T20:08:05.571Z,Category,OK,2.263,100
2026-02-26T20:08:05.571Z,Product Page,OK,1.336,100
2026-02-26T20:08:05.571Z,Add To Cart,OK,0,100
2026-02-26T20:23:09.480Z,Homepage,OK,8.522,100
2026-02-26T20:23:09.480Z,Category,OK,2.619,100
2026-02-26T20:23:09.480Z,Product Page,OK,1.582,100
2026-02-26T20:23:09.480Z,Add To Cart,OK,0,100
2026-02-26T20:38:04.328Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T20:53:04.351Z,Homepage,OK,13.239,100
2026-02-26T20:53:04.351Z,Category,OK,2.059,100
2026-02-26T20:53:04.351Z,Product Page,OK,1.268,100
2026-02-26T20:53:04.351Z,Add To Cart,OK,0,100
2026-02-26T21:08:13.920Z,Homepage,OK,8.209,100
2026-02-26T21:08:13.920Z,Category,OK,3.227,100
2026-02-26T21:08:13.920Z,Product Page,OK,1.4,100
2026-02-26T21:08:13.920Z,Add To Cart,OK,0,100
2026-02-26T21:22:59.753Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T21:38:02.969Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T21:48:43.339Z,Homepage,OK,8.345,100
2026-02-26T21:48:43.339Z,Category,OK,1.432,100
2026-02-26T21:48:43.339Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('button:has-text("Add to cart")') to be visible     4 × locator resolved to 40 elements. Proceeding with the first one: <button value="in" type="button" name="action" data-submit="" class="add btn _prim -pea _md">Add to cart</button>     60 × locator resolved to 52 elements. Proceeding with the first one: <button value="in" type="button" name="action" data-submit="" class="add btn _prim -pea _md">Add to cart</button>,0,0
2026-02-26T21:53:21.412Z,Homepage,OK,8.715,100
2026-02-26T21:53:21.412Z,Category,OK,2.055,100
2026-02-26T21:53:21.412Z,Product Page,OK,1.49,100
2026-02-26T21:53:21.412Z,Add To Cart,OK,0,100
2026-02-26T22:08:14.310Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T22:23:03.741Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T22:38:16.402Z,Failure,page.waitForSelector: Timeout 30000ms exceeded. Call log:   - waiting for locator('input[placeholder*="Search"]') to be visible,0,0
2026-02-26T22:53:03.095Z,Homepage,OK,8.455,100
2026-02-26T22:53:03.095Z,Category,OK,2.269,100
2026-02-26T22:53:03.095Z,Product Page,OK,0.876,100
2026-02-26T22:53:03.095Z,Add To Cart,OK,0,100
2026-02-26T23:04:07.875Z,Homepage,OK,8.568,100
2026-02-26T23:04:07.875Z,Category,OK,2.669,100
2026-02-26T23:04:07.875Z,Product Page,OK,1.319,100
2026-02-26T23:04:07.875Z,Add To Cart,OK,0,100
2026-02-26T23:08:03.065Z,Homepage,OK,8.317,100
2026-02-26T23:08:03.065Z,Category,OK,1.648,100
2026-02-26T23:08:03.065Z,Product Page,OK,1.143,100
2026-02-26T23:08:03.065Z,Add To Cart,OK,0,100
2026-02-26T23:23:08.195Z,Homepage,OK,8.621,100
